doi,title,authors,year,journal,method_snippet,key_findings_snippet,fulltext_available,source_pdf_path
10.1007/978-981-96-4288-5_17,Enhancing Retrieval Augmented Generation with Hierarchical Text Segmentation Chunking,Hai-Toan Nguyen; Tien-Dat Nguyen; Viet-Ha Nguyen,2025,Communications in Computer and Information Science,,,False,
10.21203/rs.3.rs-7562846/v1,A Novel Multi-Layer Semantic Chunking and Embedding Dimension Transformation Techniques for Enhanced Retrieval Augmented Generation,Luyen Nguyen Tien; Binh Hoang Tieu,2025,,"title>         <p>Retrieval-Augmented Generation (RAG) systems combine information retrieval with generative models to provide accurate responses, but existing frameworks face limitations in semantic chunking flexibility and embedding compatibility across models. This paper introduces MERCED RAG, a novel framework addressing these challenges through twokey innovations: (1) multi-layer semantic chu","<title>abstract</title>         <p>retrieval-augmented generation (rag) systems combine information retrieval with generative models to provide accurate responses, but existing frameworks face limitations in semantic chunking flexibility and embedding compatibility across models. this paper introduces merced rag, a novel framework addressing these challenges through twokey innovations: (1) multi-l",True,
10.1109/icce-taiwan62264.2024.10674113,Chunking Strategy for Retrieval Augmented Generation in Regulation Documents,Amar Fadillah; Nuke Athahirah; Kuan Ting Lai,2024,2024 International Conference on Consumer Electronics - Taiwan (ICCE-Taiwan),,,False,
10.1109/ccat64370.2024.00021,Reordering of Double Pass Merging Chunking to Improve Retrieval Augmented Generation,Xiaohang Gong; Runpeng He; Qihan Peng,2024,2024 3rd International Conference on Computer Applications Technology (CCAT),,,False,
10.18653/v1/2025.acl-long.258,MoC: Mixtures of Text Chunking Learners for Retrieval-Augmented Generation System,Jihao Zhao; Zhiyuan Ji; Zhaoxin Fan; Hanyu Wang; Simin Niu; Bo Tang; Feiyu Xiong; Zhiyu Li,2025,Proceedings of the 63rd Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,,False,
10.56038/oprd.v5i1.516,Enhancing Retrieval-Augmented Generation Accuracy with Dynamic Chunking and Optimized Vector Search,Derya Tanyildiz; Serkan Ayvaz; Mehmet Fatih Amasyali,2024,Orclever Proceedings of Research and Development,"fficient retrieval and ranking mechanisms to enhance response accuracy and relevance. This study investigates a novel approach to improving the response performance of RAG systems, leveraging dynamic chunking for contextual coherence, Sentence-Transformers (all-mpnet-base-v2) for high-quality embeddings, and cross-encoder-based re-ranking for retrieval refinement. Our evaluation utilizes RAGAS met","<jats:p>retrieval-augmented generation (rag) architectures depend on the integration of efficient retrieval and ranking mechanisms to enhance response accuracy and relevance. this study investigates a novel approach to improving the response performance of rag systems, leveraging dynamic chunking for contextual coherence, sentence-transformers (all-mpnet-base-v2) for high-quality embeddings, and c",True,screening_output\pdfs\10.56038_oprd.v5i1.516.pdf
10.1109/ainit65432.2025.11036011,LateSplit: Lightweight Post-Retrieval Chunking for Query-Aligned Text Segmentation in RAG Systems,Zirong Peng; Xiaoming Liu; Guan Yang,2025,"2025 IEEE 6th International Seminar on Artificial Intelligence, Networking and Information Technology (AINIT)",,,False,
10.54941/ahfe1005756,Advanced Chunking and Search Methods for Improved Retrieval-Augmented Generation (RAG) System Performance in E-Learning,Daniel Danter; Heidrun Mühle; Andreas Stöckl,2024,AHFE International,"ve is to enhance the accuracy and efficiency of using Large Language Models (LLMs), such as GPT-4, by employing advanced Prompt Engineering Techniques in E-Learning environments. Efficient search and chunking methods are critical for optimizing the quality of answers provided by these systems.To achieve this, we utilized the RAGas testing framework, focusing on performance parameters including Ans","<jats:p>our study evaluates different search methodologies—hybrid search and semantic search—within a retrieval-augmented generation (rag) framework specifically for e-learning. the primary objective is to enhance the accuracy and efficiency of using large language models (llms), such as gpt-4, by employing advanced prompt engineering techniques in e-learning environments. efficient search and chu",True,
10.47344/7we5dg32,Optimizing QA Systems: Evaluating Row-Based and Traditional Chunking in Structured-Data-Aware Retrieval-Augmented Generation for University Virtual Assistants,Maksat Maratov; Selcuk Cankurt,2025,Journal of Emerging Technologies and Computing,"60  Article  Journal of Emerging Technologies and Computing (JETC), Vol. 1 No. 1 (2025)  Optimizing QA Systems: Evaluating Row-Based and Traditional Chunking in Structured-Data-Aware Retrieval-Augmented Generation for University Virtual Assistants Maksat Maratov 1* and Selchuk Cankurt 2  1Department of Computer Science, SDU University, Almaty, Kaz","60  article  journal of emerging technologies and computing (jetc), vol. 1 no. 1 (2025)  optimizing qa systems: evaluating row-based and traditional chunking in structured-data-aware retrieval-augmented generation for university virtual assistants maksat maratov 1* and selchuk cankurt 2  1department of computer science, sdu university, almaty, kazakhstan 2department of computer science, sdu univer",True,screening_output\pdfs\10.47344_7we5dg32.pdf
10.18653/v1/2025.findings-acl.422,Document Segmentation Matters for Retrieval-Augmented Generation,Zhitong Wang; Cheng Gao; Chaojun Xiao; Yufei Huang; Shuzheng Si; Kangyang Luo; Yuzhuo Bai; Wenhao Li; Tangjian Duan; Chuancheng Lv; Guoshan Lu; Gang Chen; Fanchao Qi; Maosong Sun,2025,Findings of the Association for Computational Linguistics: ACL 2025,"u@gmail.comAbstractRetrieval-augmentedgeneration(RAG)en-hanceslargelanguagemodels(LLMs)byin-tegratingexternalknowledge.AcriticalyetunderexploredchallengeinRAGisdocumentsegmentation,alsoknownasdocumentchunk-ing.Existingwidely-usedrule-basedchunk-ingmethodsusuallyleadtosuboptimalsplits,whereoverlylargechunksintroduceirrelevantinformationandsmallchunkslacksemanticco-herence.Existingsemantic-basedappr","8063 findings of the association for computational linguistics: acl 2025, pages 8063–8075 july 27 - august 1, 2025 ©2025 association for computational linguistics  documentsegmentationmattersforretrieval-augmentedgenerationzhitongwang♠♡,chenggao♠,chaojunxiao∗♠,yufeihuang♠,shuzhengsi♠,kangyangluo♠,yuzhuobai♠,wenhaoli♠,tangjianduan♡,chuanchenglv♡,guoshanlu♡,gangchen♡,fanchaoqi∗♠maosongsun*♠♣♢,♠depar",True,screening_output\pdfs\10.18653_v1_2025.findings-acl.422.pdf
10.32473/flairs.38.1.138940,Next Sentence Prediction with BERT as a Dynamic Chunking Mechanism for Retrieval-Augmented Generation Systems,Alexandre Thurow Bender; Gabriel Almeida Gomes; Ulisses Brisolara Corrêa; Ricardo Matsumura Araujo,2025,The International FLAIRS Conference Proceedings,"Next Sentence Prediction with BERT as a Dynamic Chunking Mechanism for Retrieval-Augmented Generation Systems  Alexandre T. Bender, Gabriel A. Gomes, Ulisses B. Corrˆea, Ricardo M. Araujo Computer Science Graduation Program (PPGC), Artificial Intel","next sentence prediction with bert as a dynamic chunking mechanism for retrieval-augmented generation systems  alexandre t. bender, gabriel a. gomes, ulisses b. corrˆea, ricardo m. araujo computer science graduation program (ppgc), artificial intelligence innovation hub (h2ia), center for technological advancement (cdtec), federal university of pelotas (ufpel) {atbender,gagomes,ulisses,ricardo}@in",True,screening_output\pdfs\10.32473_flairs.38.1.138940.pdf
10.3390/sym17050633,Optimizing Legal Text Summarization Through Dynamic Retrieval-Augmented Generation and Domain-Specific Adaptation,S Ajay Mukund; K. S. Easwarakumar,2025,Symmetry," achieves a vital form of symmetry between information retrieval and content generation, ensuring that retrieved legal knowledge is both comprehensive and precise. Using the BM25 retriever with top-3 chunk selection, the system optimizes relevance and efficiency, minimizing redundancy while maximizing legally pertinent content. with top-3 chunk selection, the system optimizes relevance and efficie",<jats:p>legal text summarization presents distinct challenges due to the intricate and domain-specific nature of legal language. this paper introduces a novel framework integrating dynamic retrieval-augmented generation (rag) with domain-specific adaptation to enhance the accuracy and contextual relevance of legal document summaries. the proposed dynamic legal rag system achieves a vital form of s,True,
10.1007/978-3-031-94571-7_8,Advanced System Integration: Analyzing OpenAPI Chunking for Retrieval-Augmented Generation,Robin D. Pesl; Jerin G. Mathew; Massimo Mecella; Marco Aiello,2025,Lecture Notes in Computer Science,,,False,
