doi,title,year,is_oa,pdf_source,pdf_url,decision,similarity_score
10.21203/rs.3.rs-7562846/v1,A Novel Multi-Layer Semantic Chunking and Embedding Dimension Transformation Techniques for Enhanced Retrieval Augmented Generation,2025,True,,https://www.researchsquare.com/article/rs-7562846/latest.pdf,Include,0.36215147376060486
10.18653/v1/2021.sdp-1.2,Unsupervised Document Expansion for Information Retrieval with Stochastic Text Generation,2021,True,,https://aclanthology.org/2021.sdp-1.2.pdf,Exclude,0.43187853693962097
10.47344/7we5dg32,Optimizing QA Systems: Evaluating Row-Based and Traditional Chunking in Structured-Data-Aware Retrieval-Augmented Generation for University Virtual Assistants,2025,True,publisher,https://jetc.sdu.edu.kz/index.php/jetc/article/download/115/99,Include,0.4511895775794983
10.18653/v1/2025.findings-acl.422,Document Segmentation Matters for Retrieval-Augmented Generation,2025,True,,https://aclanthology.org/2025.findings-acl.422.pdf,Include,0.5602958798408508
10.21203/rs.3.rs-6927746/v1,A Multi-Hop Retrieval-Augmented Generation Framework for Intelligent Document Question Answering in Financial and Compliance Contexts,2025,True,,https://www.researchsquare.com/article/rs-6927746/latest.pdf,Exclude,0.3105250895023346
10.37745/ijmt.2013/vol12n32646,The Role of Retrieval-Augmented Generation (RAG) in Financial Document Processing: Automating Compliance and Reporting,2025,True,publisher,https://eajournals.org/ijmt/wp-content/uploads/sites/69/2025/04/The-Role-of-Retrieval-Augmented-Generation.pdf,Exclude,0.3828772306442261
10.32388/nth9ey,"Review of: ""GeAR: Generation Augmented Retrieval""",2025,True,,https://www.qeios.com/read/NTH9EY/pdf,Exclude,0.3024725019931793
10.14569/ijacsa.2024.0150379,Retrieval-Augmented Generation Approach: Document Question Answering using Large Language Model,2024,True,publisher,http://thesai.org/Downloads/Volume15No3/Paper_79-Retrieval_Augmented_Generation_Approach.pdf,Exclude,0.3976704776287079
10.32614/cran.package.ragnar,ragnar: Retrieval-Augmented Generation (RAG) Workflows,2025,True,,https://cran.r-project.org/web/packages/ragnar/ragnar.pdf,Exclude,0.283871591091156
10.52465/joetex.v3i1.588,Implementation of Retrieval-Augmented Generation (RAG) and Large Language Models (LLM) for a Document and Tabular-Based Chatbot System,2025,True,publisher,https://shmpublisher.com/index.php/joetex/article/download/588/315,Exclude,0.27800342440605164
10.18653/v1/2025.findings-acl.1076,TechniqueRAG: Retrieval Augmented Generation for Adversarial Technique Annotation in Cyber Threat Intelligence Text,2025,True,,https://aclanthology.org/2025.findings-acl.1076.pdf,Exclude,0.14690160751342773
10.18653/v1/2025.magmar-1,Proceedings of the 1st Workshop on Multimodal Augmented Generation via Multimodal Retrieval (MAGMaR 2025),2025,True,,https://aclanthology.org/2025.magmar-1.pdf,Exclude,0.14104685187339783
10.18653/v1/2025.magmar-1.13,FORTIFY: Generative Model Fine-tuning with ORPO for ReTrieval Expansion of InFormal NoisY Text,2025,True,,https://aclanthology.org/2025.magmar-1.13.pdf,Exclude,0.35527196526527405
10.21203/rs.3.rs-6216441/v1,Quantum Synergy in Retrieval-Augmented Generation for Contextual Enhancement,2025,True,,https://www.researchsquare.com/article/rs-6216441/latest.pdf,Exclude,0.3069100081920624
10.37547/tajiir/volume07issue07-12,Retrieval-Augmented Generation (RAG) for Real-Time Financial Market Analysis,2025,True,publisher,https://theamericanjournals.com/index.php/tajiir/article/download/6431/5972/8375,Exclude,0.3173671066761017
10.21275/sr24502103758,Automating Threat Intelligence Analysis with Retrieval Augmented Generation (RAG) for Enhanced Cybersecurity Posture,2024,True,publisher,https://doi.org/10.21275/sr24502103758,Exclude,0.03649456426501274
10.3724/2096-7004.di.2025.0175,Retrieval Augmented Document-Level Information Extraction from Scientific Articles Using Large Language Models,2025,True,publisher,https://www.sciengine.com/doi/pdf/089F0CEA8EC74ABE9EDE58862AEA82B3,Exclude,0.4785118103027344
10.33774/coe-2025-50t75,Enhancing Context-Aware Interaction in Collaborative VR Using Retrieval-Augmented Generation,2025,True,,https://www.cambridge.org/engage/api-gateway/coe/assets/orp/resource/item/68bc0276728bf9025ebccbd2/original/enhancing-context-aware-interaction-in-collaborative-vr-using-retrieval-augmented-generation.pdf,Exclude,0.1748601794242859
10.55041/ijsrem47875,Data Analysis and Extraction ChatBot: Leveraging Retrieval-Augmented Generation for Enhanced Document Processing,2025,True,publisher,https://ijsrem.com/download/data-analysis-and-extraction-chatbot-leveraging-retrieval-augmented-generation-for-enhanced-document-processing/?wpdmdl=52387&refresh=6825940a534a61747293194,Exclude,0.40060722827911377
10.21203/rs.3.rs-7739042/v1,Joint Modeling of Intelligent Retrieval-Augmented Generation in LLM-Based Knowledge Fusion,2025,True,,https://www.researchsquare.com/article/rs-7739042/latest.pdf,Exclude,0.37596043944358826
10.18653/v1/2025.acl-long.176,Hierarchical Document Refinement for Long-context Retrieval-augmented Generation,2025,True,,https://aclanthology.org/2025.acl-long.176.pdf,Exclude,0.4054774343967438
10.18653/v1/2025.findings-acl.859,RAPID: Efficient Retrieval-Augmented Long Text Generation with Writing Planning and Information Discovery,2025,True,,https://aclanthology.org/2025.findings-acl.859.pdf,Exclude,0.43044760823249817
10.1145/3746059.3747741,RAGTrace: Understanding and Refining Retrieval-Generation Dynamics in Retrieval-Augmented Generation,2025,True,repository,https://arxiv.org/pdf/2508.06056,Exclude,0.4000559151172638
10.1145/3539618.3592085,Weakly-Supervised Scientific Document Classification via Retrieval-Augmented Multi-Stage Training,2023,True,repository,https://arxiv.org/pdf/2306.07193,Exclude,0.3326113522052765
10.21203/rs.3.rs-7305332/v1,A Novel Approach for Text Extraction and Word Segmentation from Handwritten Document Images Using CNN-RNN Technique,2025,True,,https://www.researchsquare.com/article/rs-7305332/latest.pdf,Exclude,0.24957925081253052
10.15308/sinteza-2025-3-9,Enhancing Retrieval - Augmented Generation with Graph-Based Retrieval and Generative Modeling,2025,True,,https://portal.sinteza.singidunum.ac.rs/Media/files/2025/3-9.pdf,Exclude,0.2948620915412903
10.21203/rs.3.rs-6551928/v1,Can Large Language Models (LLMs) and Retrieval-Augmented Generation (RAG) Generate New Knowledge for Urban Studies?,2025,True,,https://www.researchsquare.com/article/rs-6551928/latest.pdf,Exclude,0.2878454625606537
10.21203/rs.3.rs-6741053/v1,"Retrieval-augmented generation: a hybrid approach to assessing retrieved documents similarity, LLM confidence, and system stability",2025,True,,https://www.researchsquare.com/article/rs-6741053/latest.pdf,Exclude,0.42632925510406494
10.18653/v1/2025.magmar-1.0,Front Matter,2025,True,,https://aclanthology.org/2025.magmar-1.0.pdf,Exclude,0.07105527818202972
10.5121/csit.2025.150904,Large Language Models in Clinical Advice: Direct Generation and Retrieval Augmented Generation vs Expert Advice,2025,True,,https://doi.org/10.5121/csit.2025.150904,Exclude,0.2603362500667572
10.12783/shm2025/37402,Bridging the Knowledge Gap in NDE 4.0: AI-Augmented Insights Through Retrieval-Augmented Generation (RAG),2025,True,,https://dpi-proceedings.com/index.php/shm2025/article/download/37402/35975,Exclude,0.36137211322784424
10.34218/ijcet_16_01_233,ENHANCING INFORMATION RETRIEVAL WITH RETRIEVAL-AUGMENTED GENERATION (RAG) FOR IMPROVED CONVERSATIONAL AI,2025,True,publisher,https://doi.org/10.34218/ijcet_16_01_233,Exclude,0.2975607216358185
10.21203/rs.3.rs-6390724/v1,A Novel Retrieval-Augmented Generation Framework Using Large Language Models for Lyrics and Song Composition,2025,True,,https://www.researchsquare.com/article/rs-6390724/latest.pdf,Exclude,0.23984698951244354
10.21203/rs.3.rs-7281889/v1,MuseRAG++: A Deep Retrieval-Augmented Generation Framework for Semantic Interaction and Multi-Modal Reasoning in Virtual Museums,2025,True,,https://www.researchsquare.com/article/rs-7281889/latest.pdf,Exclude,0.2513778805732727
10.62476/jmte.10142,"Retrieval-Augmented Generation: Architecture, Techniques, and Evaluations",2025,True,publisher,https://api.jomardpublishing.com/api/main/articles/download?source=storage/journals/journal-of-modern-technology-and-engineering/issues/pdf/2025/retrieval-augmented-generation-architecture-techniques-and-evaluations.pdf,Exclude,0.3333069086074829
10.5121/csit.2025.151210,Enhancing Frame Detection with Retrieval Augmented Generation,2025,True,,https://doi.org/10.5121/csit.2025.151210,Exclude,0.2580716013908386
10.18653/v1/2025.naacl-long.271,DIRAS: Efficient LLM Annotation of Document Relevance for Retrieval Augmented Generation,2025,True,,https://aclanthology.org/2025.naacl-long.271.pdf,Exclude,0.403884619474411
10.7546/pecr.83.25.03,Retrieval-Augmented Generation (RAG): Advances and Challenges,2025,True,publisher,https://doi.org/10.7546/pecr.83.25.03,Exclude,0.32511475682258606
10.5772/intechopen.95076,Supporting Named Entity Recognition and Document Classification for Effective Text Retrieval,2021,True,publisher,https://www.intechopen.com/citation-pdf-url/74588,Exclude,0.35788798332214355
10.54254/2755-2721/2025.kl22312,"Retrieval-Augmented Generation: Methods, Applications and Challenges",2025,True,publisher,https://www.ewadirect.com/proceedings/ace/article/view/22312/pdf,Exclude,0.4362369477748871
10.1145/3397271.3401224,Local Self-Attention over Long Text for Efficient Document Retrieval,2020,True,repository,https://arxiv.org/pdf/2005.04908,Exclude,0.4720577895641327
10.18653/v1/2023.findings-emnlp.620,Enhancing Retrieval-Augmented Large Language Models with Iterative Retrieval-Generation Synergy,2023,True,,https://aclanthology.org/2023.findings-emnlp.620.pdf,Exclude,0.31973856687545776
10.6025/jdim/2018/16/3/136-151,Content Based Text Information Search and Retrieval in Document Images for Digital Library,2018,True,publisher,https://doi.org/10.6025/jdim/2018/16/3/136-151,Exclude,0.36688441038131714
